id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
22345,Yspahan,753,7.06829,6.74519,8075,7803,2.3693,2,4,45,60,https://boardgamegeek.com/boardgame/22345
20100,Wits & Wagers,754,6.92629,6.7451,14960,20615,1.2097,3,7,25,25,https://boardgamegeek.com/boardgame/20100
168435,Between Two Cities,755,6.98946,6.74381,10926,13610,1.8139,1,7,25,25,https://boardgamegeek.com/boardgame/168435
202670,Ticket to Ride: Rails & Sails,756,7.42894,6.74296,4267,9926,2.5059,2,5,60,120,https://boardgamegeek.com/boardgame/202670
315610,Massive Darkness 2: Hellscape,757,8.09961,6.74274,2167,6038,2.7273,1,6,60,60,https://boardgamegeek.com/boardgame/315610
220517,The Shipwreck Arcana,758,7.47345,6.74253,3442,5384,2.197,2,5,10,30,https://boardgamegeek.com/boardgame/220517
143515,Coal Baron,759,7.28773,6.74222,4745,5515,2.5458,2,4,60,75,https://boardgamegeek.com/boardgame/143515
3307,Wallenstein,760,7.45994,6.74204,3612,2963,3.308,3,5,150,150,https://boardgamegeek.com/boardgame/3307
280480,Crystal Palace,761,7.53467,6.74129,3204,5120,3.8056,2,5,90,150,https://boardgamegeek.com/boardgame/280480
214887,CO₂: Second Chance,762,7.55318,6.74126,3233,6874,4.0743,1,4,60,120,https://boardgamegeek.com/boardgame/214887
300877,New York Zoo,763,7.12075,6.74111,6994,14121,1.9605,1,5,30,60,https://boardgamegeek.com/boardgame/300877
55600,Shipyard,764,7.35594,6.74068,4014,4695,3.5017,2,4,120,120,https://boardgamegeek.com/boardgame/55600
256382,Disney Villainous,765,6.98201,6.74056,18601,42376,2.4824,2,6,45,120,https://boardgamegeek.com/boardgame/256382
31563,Middle-Earth Quest,766,7.38932,6.7405,4163,6525,3.5457,2,4,180,180,https://boardgamegeek.com/boardgame/31563
326494,The Adventures of Robin Hood,767,7.54059,6.7404,3317,8588,1.8319,2,4,60,60,https://boardgamegeek.com/boardgame/326494
307305,Bullet♥︎,768,7.66359,6.73802,2808,4889,2.1029,1,4,10,20,https://boardgamegeek.com/boardgame/307305
306881,Railroad Ink Challenge: Lush Green Edition,769,7.67375,6.73769,2654,7890,2.1224,1,4,15,30,https://boardgamegeek.com/boardgame/306881
11825,Empire of the Sun,770,8.26756,6.73753,1896,6050,4.3569,1,2,360,360,https://boardgamegeek.com/boardgame/11825
