id,name,rank,averageRating,bggRating,numRatings,numOwned,weight,minPlayers,maxPlayers,minTime,maxTime,link
1035,Squad Leader,639,7.51064,6.75766,3151,6025,4.0366,2,2,60,60,https://boardgamegeek.com/boardgame/1035
166384,Spyfall,640,6.88283,6.75676,18218,25448,1.243,3,8,15,15,https://boardgamegeek.com/boardgame/166384
163602,XCOM: The Board Game,641,7.05743,6.75611,7891,12373,2.9017,1,4,60,120,https://boardgamegeek.com/boardgame/163602
224597,Warhammer Underworlds: Shadespire,642,7.77605,6.75543,2533,4323,2.4643,2,2,30,30,https://boardgamegeek.com/boardgame/224597
12002,Jambo,643,7.0112,6.75443,7965,9868,2.0705,2,2,45,45,https://boardgamegeek.com/boardgame/12002
171273,FUSE,644,7.05485,6.75427,7028,10639,1.6641,1,5,10,10,https://boardgamegeek.com/boardgame/171273
214880,City of the Big Shoulders,645,7.93274,6.75427,1714,2209,4.0476,2,4,120,180,https://boardgamegeek.com/boardgame/214880
2453,Blokus,646,6.88253,6.75378,22881,30687,1.7701,2,4,20,20,https://boardgamegeek.com/boardgame/2453
270970,Century: A New World,647,7.48513,6.75327,2869,6796,2.1321,2,4,30,45,https://boardgamegeek.com/boardgame/270970
156566,Lords of Xidit,648,7.13681,6.75281,5258,8474,2.6243,3,5,90,90,https://boardgamegeek.com/boardgame/156566
233247,Civilization: A New Dawn,649,7.3051,6.75106,4273,7727,3.0662,2,4,60,120,https://boardgamegeek.com/boardgame/233247
256382,Disney Villainous,650,7.06383,6.75072,9923,21849,2.4136,2,6,50,50,https://boardgamegeek.com/boardgame/256382
181687,The Pursuit of Happiness,651,7.23679,6.7502,4103,6882,2.4854,1,4,60,90,https://boardgamegeek.com/boardgame/181687
12962,Reef Encounter,652,7.1399,6.74959,4969,5509,3.6778,2,4,60,120,https://boardgamegeek.com/boardgame/12962
28181,Combat Commander: Pacific,653,8.09203,6.74827,1471,3210,3.227,2,2,180,180,https://boardgamegeek.com/boardgame/28181
528,ZÈRTZ,654,7.28944,6.74789,3912,5575,2.7357,2,2,30,60,https://boardgamegeek.com/boardgame/528
269511,Cooper Island,655,7.72198,6.74584,2068,3789,4.1593,1,4,60,120,https://boardgamegeek.com/boardgame/269511
256952,Zombie Kidz Evolution,656,7.89205,6.74575,1908,4138,1.4211,2,4,5,15,https://boardgamegeek.com/boardgame/256952
35570,Tinners' Trail,657,7.25591,6.74554,3810,3907,2.828,3,4,60,90,https://boardgamegeek.com/boardgame/35570
135779,A Fake Artist Goes to New York,658,7.16792,6.74457,4780,8275,1.1647,5,10,20,20,https://boardgamegeek.com/boardgame/135779
